name,description,category,seller_username,price,discount,thumbnail_url,colors,sizes,general_images,color_images_red,color_images_blue,color_images_black,color_images_white
Classic Cotton Shirt,Comfortable cotton shirt for daily wear,MEN,seller1,499,10,,red;blue,S;M;L,,,
Casual Linen Shirt,Breathable linen shirt for summer,MEN,seller1,599,15,,white;blue;black,S;M;L;XL,,,
Elegant Kurta,Stylish cotton kurta for kids,KIDS,seller2,699,5,,red;green;blue,4;6;8,,,
Sari Traditional,Saree with traditional design,WOMEN,seller3,1299,20,,red;orange;green,S;M;L,,,
Men's Formal Pant,Perfect formal pants for office,MEN,seller1,899,10,,black;grey;blue,S;M;L;XL,,,
Kids Shorts,Comfortable summer shorts for kids,KIDS,seller2,299,0,,blue;green;yellow,4;6;8,,,
Women's Party Dress,Elegant dress for parties,WOMEN,seller3,1599,25,,red;black;white,S;M;L,,,
Casual T-Shirt,Soft cotton t-shirt,MEN,seller1,399,5,,white;blue;green,S;M;L;XL,,,
Kids Pant,Stylish pants for kids,KIDS,seller2,499,0,,black;grey;blue,4;6;8,,,
Kurta Set,KIDS kurta set,KIDS,seller2,799,10,,orange;green;blue,4;6;8,,,
Women Maxi Dress,Long flowing dress,WOMEN,seller3,1999,15,,red;yellow;blue,S;M;L,,,
Men Jacket,Winter warm jacket,MEN,seller1,2499,20,,black;blue;grey,M;L;XL,,,
Kids Hoodie,Comfortable hoodie for kids,KIDS,seller2,699,5,,red;blue;green,4;6;8,,,
Women Casual Top,Cotton casual top,WOMEN,seller3,599,0,,white;pink;blue,S;M;L,,,
Men Polo Shirt,Polo shirt for daily wear,MEN,seller1,499,0,,red;white;blue,S;M;L;XL,,,
Kids T-Shirt,Soft cotton t-shirt,KIDS,seller2,299,0,,green;yellow;blue,4;6;8,,,
Women Kurti,Cotton kurti for daily wear,WOMEN,seller3,699,10,,pink;white;blue,S;M;L,,,
Men Sweatshirt,Cozy sweatshirt,MEN,seller1,799,5,,black;grey;blue,S;M;L;XL,,,
Kids Pajama Set,Comfortable pajama set,KIDS,seller2,399,0,,red;blue;green,4;6;8,,,
Women Ethnic Top,Stylish ethnic top,WOMEN,seller3,899,15,,red;yellow;blue,S;M;L,,,
Men Cargo Pants,Durable cargo pants,MEN,seller1,999,10,,green;black;grey,S;M;L;XL,,,
Kids Jacket,Warm jacket for kids,KIDS,seller2,1299,20,,blue;grey;red,4;6;8,,,
Women Summer Dress,Light summer dress,WOMEN,seller3,1499,10,,pink;white;yellow,S;M;L,,,
Men Shorts,Comfortable casual shorts,MEN,seller1,499,5,,blue;black;grey,S;M;L;XL,,,
Kids Trousers,Cotton trousers,KIDS,seller2,399,0,,green;blue;red,4;6;8,,,
Women Party Kurti,Party wear kurti,WOMEN,seller3,1299,20,,red;blue;pink,S;M;L,,,
Men Winter Coat,Heavy winter coat,MEN,seller1,2999,25,,black;grey;blue,M;L;XL,,,
Kids Dress,Kids party dress,KIDS,seller2,699,5,,pink;yellow;blue,4;6;8,,,
Women Formal Pants,Work wear pants,WOMEN,seller3,1199,15,,black;grey;white,S;M;L,,,
Men Casual Shirt,Soft casual shirt,MEN,seller1,599,10,,white;blue;green,S;M;L;XL,,,
Kids Kurta,Cotton kurta,KIDS,seller2,499,0,,orange;green;blue,4;6;8,,,
